==PROF== Connected to process 7403 (/home/richard/miniforge3/envs/llm-infer/bin/python3.11)
Loading GPT-2 from W2/gpt2_model/AI-ModelScope/gpt2 on cuda (precision=fp32)...
Model loaded. Parameters: 124.4M, dtype_sample=torch.float32
[ncu] input shape: (1, 128)
[ncu] warmup...
[ncu] measured prefill (nvtx range: prefill)
[ncu] measured decode (nvtx range: decode_step, step=10)
[ncu] done
==PROF== Disconnected from process 7403
==WARNING== Found outstanding GPU clock reset, trying to revert...Success.
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::<unnamed>::indexSelectSmallIndex<float, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(6, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.31"
"0","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::<unnamed>::indexSelectSmallIndex<float, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(6, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"0","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::<unnamed>::indexSelectSmallIndex<float, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(6, 1, 1)","0","8.9","Command line profiler metrics","smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","%","5.41"
"1","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","1","7","(64, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.22"
"1","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","1","7","(64, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"1","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","1","7","(64, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.20"
"2","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::<unnamed>::indexSelectSmallIndex<float, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(6, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.32"
"2","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::<unnamed>::indexSelectSmallIndex<float, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(6, 1, 1)","0","8.9","Command line profiler metrics","sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0"
"2","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::<unnamed>::indexSelectSmallIndex<float, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)","1","7","(128, 1, 1)","(6, 1, 1)","0","8.9","Command line profiler metrics","smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","%","4.94"
"3","7403","python3.11","127.0.0.1","7403  ""<default domain>:decode_step:none:none:none:none:none:none"" ","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.72"
